[2018-Jul-20 15:35], 127.0.0.1, GET, http, /?, 404 NOT FOUND, AnonymousUser, Client error
[2018-Jul-20 15:35], 127.0.0.1, GET, http, /profile?, 200 OK, AnonymousUser, Undefined message
[2018-Jul-20 16:07], 127.0.0.1, GET, http, /api/point/1?, 200 OK, AnonymousUser, Undefined message
[2018-Jul-20 16:07], 127.0.0.1, GET, http, /api/point/?, 404 NOT FOUND, AnonymousUser, Client error
[2018-Jul-20 16:09], 127.0.0.1, GET, http, /api/point/1?, 200 OK, AnonymousUser, Undefined message
[2018-Jul-20 16:18], 127.0.0.1, GET, http, /api/point?, 404 NOT FOUND, AnonymousUser, Client error
[2018-Jul-20 16:20], 127.0.0.1, GET, http, /api/point?, 200 OK, AnonymousUser, Undefined message
[2018-Jul-20 16:21], 127.0.0.1, GET, http, /api/point?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 16:21], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 16:27], 127.0.0.1, POST, http, /api/point/1/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 16:37], 127.0.0.1, POST, http, /api/pointlog/1?, 405 METHOD NOT ALLOWED, tom@ggmail.com, The method is not allowed for the requested URL.
[2018-Jul-20 16:37], 127.0.0.1, GET, http, /api/pointlog/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 16:40], 127.0.0.1, POST, http, /api/userlogin?, 200 OK, tom@ggmail.com, Successfully logged in as tom@ggmail.com
[2018-Jul-20 16:52], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 16:53], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 16:56], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 16:56], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 16:57], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 16:59], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 17:00], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 17:00], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 17:01], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 17:01], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 17:02], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 17:02], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 17:04], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 17:06], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 17:10], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 17:11], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 17:13], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
[2018-Jul-20 17:13], 127.0.0.1, POST, http, /api/point/1?, 200 OK, tom@ggmail.com, Undefined message
